year_id,location_name,mean_final,lower_final,upper_final,proportion,age_group_id,metric_id,measure_id,age_group_name,metric_name
1997,Sub-Saharan Africa,7240.15777,5146.770621,9595.11876,3.097160076,22,1,6,all ages,count space
1997,"Central Europe, Eastern Europe, and Central Asia",5.015894572,4.577067552,5.501573701,,27,3,6,age-standardized,rate space
1997,Global,4.436846037,3.688102553,5.310128706,,27,3,6,age-standardized,rate space
1997,High-income,6.599302299,5.466538009,8.251864733,,27,3,6,age-standardized,rate space
1997,Latin America and Caribbean,4.091700214,3.616998617,4.682177231,,27,3,6,age-standardized,rate space
1997,North Africa and Middle East,6.145523728,4.434368861,8.443879175,,27,3,6,age-standardized,rate space
1997,South Asia,1.949135155,1.359579239,2.497552487,,27,3,6,age-standardized,rate space
1997,"Southeast Asia, East Asia, and Oceania",4.587691148,3.195031906,5.733996548,,27,3,6,age-standardized,rate space
1997,Sub-Saharan Africa,1.359911913,0.950180228,1.774101922,,27,3,6,age-standardized,rate space
1998,"Central Europe, Eastern Europe, and Central Asia",22676.11406,20835.41355,24697.22626,9.545484747,22,1,6,all ages,count space
1998,Global,237558.5385,194800.1269,290013.5756,100,22,1,6,all ages,count space
1998,High-income,76323.22362,64933.4378,93406.39217,32.12817526,22,1,6,all ages,count space
1998,Latin America and Caribbean,15770.26895,13847.01885,18419.66495,6.638477004,22,1,6,all ages,count space
1998,North Africa and Middle East,18547.35716,13346.18797,24975.36504,7.807489167,22,1,6,all ages,count space
1998,South Asia,20998.01282,14805.76718,26783.91617,8.839089912,22,1,6,all ages,count space
1998,"Southeast Asia, East Asia, and Oceania",75858.17594,52900.49562,94120.87744,31.93241397,22,1,6,all ages,count space
1998,Sub-Saharan Africa,7385.385987,5266.097752,9670.773777,3.108869937,22,1,6,all ages,count space
1998,"Central Europe, Eastern Europe, and Central Asia",4.920354322,4.501687669,5.406045971,,27,3,6,age-standardized,rate space
1998,Global,4.437361268,3.680783463,5.365149096,,27,3,6,age-standardized,rate space
1998,High-income,6.606211505,5.536191467,8.227178394,,27,3,6,age-standardized,rate space
1998,Latin America and Caribbean,4.225416165,3.743249422,4.860525555,,27,3,6,age-standardized,rate space
1998,North Africa and Middle East,6.148211204,4.48322371,8.522138856,,27,3,6,age-standardized,rate space
1998,South Asia,1.950713408,1.363738319,2.48516352,,27,3,6,age-standardized,rate space
1998,"Southeast Asia, East Asia, and Oceania",4.604996386,3.2184168,5.737683005,,27,3,6,age-standardized,rate space
1998,Sub-Saharan Africa,1.356186053,0.911742572,1.75642929,,27,3,6,age-standardized,rate space
1999,"Central Europe, Eastern Europe, and Central Asia",22788.91694,21036.86311,24926.18533,9.414502588,22,1,6,all ages,count space
1999,Global,242061.8267,197789.0438,284114.302,100,22,1,6,all ages,count space
1999,High-income,77631.25671,66289.02065,93979.84627,32.07083817,22,1,6,all ages,count space
1999,Latin America and Caribbean,16574.03437,14686.03832,19206.22882,6.84702524,22,1,6,all ages,count space
1999,North Africa and Middle East,19013.26157,13840.55822,25232.63086,7.85471292,22,1,6,all ages,count space
1999,South Asia,21130.52519,15186.36051,27331.92635,8.729391775,22,1,6,all ages,count space
1999,"Southeast Asia, East Asia, and Oceania",77450.06926,54750.48014,95144.14281,31.99598645,22,1,6,all ages,count space
1999,Sub-Saharan Africa,7473.762629,5305.795464,9865.188057,3.087542853,22,1,6,all ages,count space
1999,"Central Europe, Eastern Europe, and Central Asia",4.932870847,4.527136139,5.423283099,,27,3,6,age-standardized,rate space
1999,Global,4.447304423,3.664358784,5.176880498,,27,3,6,age-standardized,rate space
1999,High-income,6.621453,5.575186265,8.135889347,,27,3,6,age-standardized,rate space
1999,Latin America and Caribbean,4.336724294,3.889107356,4.977313612,,27,3,6,age-standardized,rate space
1999,North Africa and Middle East,6.159280084,4.556437763,8.497101784,,27,3,6,age-standardized,rate space
1999,South Asia,1.921269497,1.373467823,2.48477234,,27,3,6,age-standardized,rate space
1999,"Southeast Asia, East Asia, and Oceania",4.637031279,3.285803471,5.671917683,,27,3,6,age-standardized,rate space
1999,Sub-Saharan Africa,1.339586822,0.895345781,1.735278267,,27,3,6,age-standardized,rate space
2000,"Central Europe, Eastern Europe, and Central Asia",23688.37844,21953.33535,25877.5374,9.563125828,22,1,6,all ages,count space
2000,Global,247705.3932,203705.5856,294529.0522,100,22,1,6,all ages,count space
2000,High-income,79249.96129,68106.0614,93814.50808,31.99363577,22,1,6,all ages,count space
2000,Latin America and Caribbean,17383.20162,15347.19241,20113.9012,7.017692022,22,1,6,all ages,count space
2000,North Africa and Middle East,19418.63756,14395.80537,25806.73765,7.839408463,22,1,6,all ages,count space
2000,South Asia,21195.39827,15488.89451,27596.71237,8.556696322,22,1,6,all ages,count space
2000,"Southeast Asia, East Asia, and Oceania",79165.75357,55800.08922,97718.41831,31.95964066,22,1,6,all ages,count space
2000,Sub-Saharan Africa,7604.062475,5334.919479,10109.54566,3.069800934,22,1,6,all ages,count space
